"2 ans prison ferme contre l homme maltraité plume pendant longs mois madame procureur extrêmement touché sort subi jeune chien décidé faire condamner tortionnaire demande prononcer peine exemplaire l encontre l homme ","animaux"
"non l abandon campagne stérilisation chats errants chasse rhône monsieur maire comme savez certain nombre citoyens commune chasse rhône département veiller condition animale donc particulièrement sensibles condition ","animaux"
" abandon projet porcherie industrielle hors sol barrais bussolles 03 allier développement alternatives agricoles humaines écologiques madame préfète plus vingt ans projet concernant bâtiments actuels capacité 6724 places stoppé forte mobilisation recours administratifs ","animaux"
"abattoir mauleon autres tous coupables lundi dernier 29 octobre 2017 deux ans demi après faits tribunal correctionnel pau rendu jugement procès abattoir mauleon licharre pyrénées atlantiques abattoir ","animaux"
"abattoirs l horreur honte maltraitance animaux n est délit tromperie qualité produits si procès l abattoir bio mauleon licharre bourgade pyrénées atlantiques lieu semaine dernière 17 18 septembre 2018 tribunal correctionnel pau sur banc accusés comparaissaient ","animaux"
"l abolition corridas béziers quelques dizaines villes france dont béziers déshonorent organisant corridas bovins torturés pique harponnés estoqués poignardés jusqu mort ","animaux"
"acceptable chevaux course meurent abattoirs après avoir subi rude vie d entraînement d acharnement rapporté bien l argent victimes bon êtres sensibles aimants plus belle ","animaux"
"acceptation partenariat vie chat adorable bonjour besoin d avoir chat depuis deux ans depuis chatte décédée 18 ans prêt motivé excité colocataire souhaite prendre petite boule ","animaux"
"non achat animaux adoptez chaque année nombreux animaux abandonnés 2018 nombre record imposé 3 ans nombre abandon chiens augmenté environs 20 celui chats 10 si ","animaux"
"afin animaux compagnie reconnus comme membre famille aujourd hui beaucoup propriétaires d animaux n identifient ceux ci tatouage puçage alors normalement loi l oblige afin abandons trop nombreux cessent demandons d inclure rubrique formulaire ","animaux"
"agir soutenir animaux victimes accidents route mitry mory chat kirikou victime grave accident route produit quatre jours ville subi graves dommages corporels mentaux perte oeil mâchoire fracturé ","animaux"
"aidez nous protéger lagon sataya lagon dauphins sataya aujourd hui saturé tourisme anarchique non formé plus plus nombreux envahissant dauphins va être mis réserve dès année prochaine ","animaux"
"non l aire grand passage colmar projet d aire grand passage annoncé dna 18 janvier 2019 zone humide colmar bout rue semm loin parking covoiturage long thur terrain pressenti vaste ","animaux"
"alerte loups danger lance cette petition sans voix souvent incompris mal jugé beaucoup savent animaux indispensables biodiversité pouvant plus voir amis faire torturer massacrer tuer ","animaux"
"allée chien bruges 33520 bordeaux parc bordelais jardin public parc rivière possèdent allée chien espace clôturé où chiens peuvent s ébattre librement a bruges parc treulon ","animaux"
"alternative abattoirs depuis longtemps opté alimentation sans viande comprends autres puissent faire autant alors faut trouver alternative abattoirs révèlent cruauté inouïe ","animaux"
"alternatives vaccins obligatoires testés animaux madame ministre affaires sociales santé c est souci respect charte droits l homme citoyen permettons protester contre vaccination obligatoire plusieurs raisons ","autres"
